shot_name,filename,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,carry_yd,total_yd,rollout_yd,apex_ft
shot_3w_35,shot_3w_35.json,107.01,10.72,9.52,3700.4,15.50,3565.9,988.7,134.5,151.6,17.1,31.0
shot_3w_36,shot_3w_36.json,128.27,9.51,-2.92,2613.7,-6.77,2595.5,-308.1,180.9,199.7,18.8,39.9
shot_3w_37,shot_3w_37.json,100.89,23.65,6.42,7893.3,7.23,7830.5,993.3,131.0,131.7,0.7,87.5
shot_3w_38,shot_3w_38.json,130.05,7.89,-0.57,1997.4,1.80,1996.4,62.6,171.0,200.0,29.0,28.9
shot_3w_39,shot_3w_39.json,129.89,11.95,-1.78,2965.3,-0.82,2965.0,-42.3,197.1,208.9,11.8,59.4
shot_3w_40,shot_3w_40.json,116.24,14.11,0.83,3909.1,0.36,3909.0,24.4,169.4,177.1,7.7,60.2
shot_3w_41,shot_3w_41.json,126.56,7.88,-0.02,2418.3,5.93,2405.4,249.7,165.8,191.8,26.0,28.8
shot_6i_30,shot_6i_30.json,96.45,10.09,-3.53,1644.0,5.10,1637.5,146.1,98.4,129.3,30.9,16.5
shot_6i_31,shot_6i_31.json,97.89,9.42,-3.68,3752.0,4.52,3740.4,295.5,109.9,130.4,20.5,20.5
shot_6i_32,shot_6i_32.json,90.17,9.74,-1.26,4135.2,7.98,4095.1,573.9,93.7,113.4,19.7,17.2
shot_6i_33,shot_6i_33.json,105.71,11.72,-1.36,3776.1,10.99,3706.9,720.0,136.7,151.9,15.2,35.0
shot_6i_34,shot_6i_34.json,111.13,9.31,-8.56,2637.1,-2.91,2633.7,-134.0,136.7,161.3,24.6,25.6
shot_7i_26,shot_7i_26.json,107.15,14.31,-2.94,4648.0,7.59,4607.2,614.2,147.4,153.9,6.5,51.9
shot_7i_27,shot_7i_27.json,103.35,14.05,-1.80,5084.7,13.65,4941.0,1200.1,136.6,142.8,6.2,46.5
shot_7i_28,shot_7i_28.json,98.45,15.21,-3.44,3446.7,6.38,3425.3,383.1,129.8,140.3,10.5,40.9
shot_7i_29,shot_7i_29.json,110.04,12.92,-0.51,3297.2,8.98,3256.8,514.5,150.7,163.0,12.3,42.9
shot_8i_22,shot_8i_22.json,100.79,15.59,-5.47,3498.0,3.50,3491.5,213.3,136.5,146.4,9.9,45.5
shot_8i_23,shot_8i_23.json,109.67,18.21,-0.03,3711.3,5.17,3696.2,334.5,160.9,167.2,6.3,70.2
shot_8i_24,shot_8i_24.json,106.67,18.22,0.20,5796.8,8.85,5727.9,891.6,147.5,150.4,2.9,72.1
shot_8i_25,shot_8i_25.json,96.96,18.53,-2.03,4809.3,4.30,4795.8,360.2,130.8,135.6,4.8,56.2
shot_9i_19,shot_9i_19.json,101.23,20.48,-2.39,4282.2,5.84,4259.9,435.9,142.6,147.2,4.6,69.2
shot_9i_20,shot_9i_20.json,98.52,20.39,1.42,4377.3,10.38,4305.7,788.4,136.0,140.8,4.8,64.1
shot_9i_21,shot_9i_21.json,90.13,20.73,0.61,6342.4,5.08,6317.5,561.6,115.3,117.5,2.2,56.5
shot_driver_42,shot_driver_42.json,136.11,8.71,-3.00,2154.9,-0.59,2154.8,-22.3,193.9,216.9,23.0,39.1
shot_driver_43,shot_driver_43.json,133.20,5.82,-6.58,2130.0,-19.69,2005.5,-717.5,154.2,192.0,37.8,18.4
shot_driver_44,shot_driver_44.json,123.96,12.67,1.29,3764.6,2.20,3761.8,144.7,184.7,193.3,8.6,61.9
shot_driver_45,shot_driver_45.json,128.90,5.14,-5.25,1634.8,2.91,1632.7,83.0,135.9,181.7,45.8,13.3
shot_driver_46,shot_driver_46.json,134.80,10.70,-2.42,3349.5,-6.46,3328.2,-376.8,204.1,215.2,11.1,59.2
shot_driver_47,shot_driver_47.json,137.20,7.11,-4.32,2596.0,-12.12,2538.1,-545.3,186.5,211.8,25.3,32.0
shot_driver_48,shot_driver_48.json,123.09,15.27,-4.21,4479.8,-6.82,4448.1,-532.0,184.2,189.2,5.0,79.3
shot_driver_49,shot_driver_49.json,123.52,18.72,3.77,5686.4,8.96,5617.1,885.3,180.1,182.6,2.5,104.1
shot_driver_50,shot_driver_50.json,135.46,4.17,-2.23,2365.1,-6.44,2350.2,-265.3,0.0,0.0,0.0,0.0
shot_driver_51,shot_driver_51.json,133.55,4.89,-4.48,2290.4,-10.07,2255.1,-400.7,0.0,0.0,0.0,0.0
shot_driver_52,shot_driver_52.json,79.04,47.63,1.95,6195.9,5.95,6162.5,642.7,0.0,0.0,0.0,0.0
shot_lw_12,shot_lw_12.json,27.92,32.89,2.39,4103.5,0.00,4103.5,0.0,0.0,0.0,0.0,0.0
