shot_name,filename,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,carry_yd,total_yd,rollout_yd,apex_ft,hang_time_s,landing_speed_mps,landing_angle_deg,initial_re,initial_spin_ratio,initial_cd,initial_cl,peak_cl,carry_only_yd
shot_3w_35,shot_3w_35.json,107.01,10.72,9.52,3700.4,15.50,3565.9,988.7,133.3,133.2,-0.0,28.1,3.50,28.35,20.69,130963.7,0.172817,0.210794,0.197243,0.198182,133.3
shot_3w_36,shot_3w_36.json,128.27,9.51,-2.92,2613.7,-6.77,2595.5,-308.1,177.1,178.0,0.9,37.2,4.12,30.79,21.80,156983.5,0.101834,0.214824,0.162752,0.164295,177.1
shot_3w_37,shot_3w_37.json,100.89,23.65,6.42,7893.3,7.23,7830.5,993.3,136.4,143.8,7.5,77.9,5.25,22.30,49.48,123474.3,0.390995,0.254023,0.227316,0.295772,136.4
shot_3w_38,shot_3w_38.json,130.05,7.89,-0.57,1997.4,1.80,1996.4,62.6,170.6,170.5,-0.1,28.9,3.74,33.10,17.70,159152.2,0.076763,0.206121,0.154282,0.155381,170.6
shot_3w_39,shot_3w_39.json,129.89,11.95,-1.78,2965.3,-0.82,2965.0,-42.3,196.6,202.1,5.5,56.6,4.93,28.57,29.75,158965.7,0.114091,0.220233,0.173148,0.175763,196.6
shot_3w_40,shot_3w_40.json,116.24,14.11,0.83,3909.1,0.36,3909.0,24.4,168.3,174.2,5.9,54.6,4.69,26.40,33.35,142251.6,0.168078,0.222562,0.193403,0.197482,168.3
shot_3w_41,shot_3w_41.json,126.56,7.88,-0.02,2418.3,5.93,2405.4,249.7,168.4,168.3,-0.1,29.3,3.81,32.05,18.28,154884.0,0.095497,0.206394,0.169245,0.170138,168.4
shot_6i_30,shot_6i_30.json,96.45,10.09,-3.53,1644.0,5.10,1637.5,146.1,96.3,150.6,54.2,15.8,2.49,30.78,14.63,118037.7,0.085187,0.187597,0.159222,0.159222,96.3
shot_6i_31,shot_6i_31.json,97.89,9.42,-3.68,3752.0,4.52,3740.4,295.5,109.6,108.6,-0.9,19.7,3.00,27.52,17.80,119805.0,0.191549,0.216915,0.223816,0.224950,109.6
shot_6i_32,shot_6i_32.json,90.17,9.74,-1.26,4135.2,7.98,4095.1,573.9,97.7,97.6,-0.2,19.6,3.00,24.08,22.06,110349.1,0.229200,0.248774,0.288330,0.293027,97.7
shot_6i_33,shot_6i_33.json,105.71,11.72,-1.36,3776.1,10.99,3706.9,720.0,136.3,136.8,0.5,32.3,3.71,27.31,23.26,129364.9,0.178534,0.212046,0.202288,0.204818,136.3
shot_6i_34,shot_6i_34.json,111.13,9.31,-8.56,2637.1,-2.91,2633.7,-134.0,135.4,135.0,-0.4,24.2,3.31,30.69,17.41,136008.1,0.118591,0.200305,0.175664,0.175839,135.4
