shot_name,filename,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,carry_yd,total_yd,rollout_yd,apex_ft,hang_time_s,landing_speed_mps,landing_angle_deg,initial_re,initial_spin_ratio,initial_cd,initial_cl,peak_cl,carry_only_yd
shot_3w_18,shot_3w_18.json,47.91,45.81,33.98,7491.0,30.00,6487.4,3745.5,40.4,46.1,5.7,37.7,3.10,17.34,52.71,58633.5,0.781418,0.386042,0.341873,0.350207,40.4
shot_3w_19,shot_3w_19.json,121.33,5.59,-4.84,1661.5,-11.89,1625.9,-342.2,120.0,181.8,61.8,12.3,2.52,36.61,10.00,148481.0,0.068442,0.199224,0.151288,0.151476,120.0
shot_3w_20,shot_3w_20.json,116.03,4.40,2.29,2026.0,9.97,1995.4,350.7,102.5,162.3,59.7,8.2,2.18,36.89,7.76,141993.6,0.087270,0.198004,0.168655,0.168669,102.5
shot_3w_21,shot_3w_21.json,119.40,5.31,-3.43,1759.7,-10.46,1730.5,-319.5,115.2,176.4,61.2,11.2,2.43,36.54,9.44,146120.2,0.073659,0.198484,0.156580,0.156688,115.2
shot_3w_22,shot_3w_22.json,108.89,5.62,-7.25,2500.8,-1.78,2499.6,-77.5,105.8,160.9,55.1,11.0,2.43,33.66,10.12,133261.1,0.114780,0.198752,0.187398,0.187398,105.8
shot_3w_23,shot_3w_23.json,115.83,8.90,-0.78,2804.3,2.19,2802.2,107.3,147.8,147.6,-0.2,26.7,3.55,30.75,18.21,141755.6,0.120995,0.203281,0.178166,0.178525,147.8
shot_3w_24,shot_3w_24.json,123.42,6.29,-5.42,2751.6,-13.27,2678.1,-631.8,148.2,200.5,52.3,20.5,3.32,32.61,14.69,151037.8,0.111429,0.212976,0.181723,0.182469,148.2
shot_5i_10,shot_5i_10.json,87.96,14.22,1.21,4064.7,8.41,4021.0,594.4,103.0,106.1,3.1,32.4,3.48,22.81,33.13,107642.0,0.230959,0.245496,0.299292,0.305612,103.0
shot_5i_11,shot_5i_11.json,90.59,14.45,-0.21,3360.4,7.80,3329.3,456.2,106.9,108.2,1.4,28.9,3.29,25.32,26.16,110866.8,0.185386,0.215219,0.216380,0.220232,106.9
shot_5i_12,shot_5i_12.json,74.19,10.23,-1.67,3321.4,15.75,3196.7,901.5,58.7,57.5,-1.2,10.2,1.98,23.74,17.13,90789.2,0.223756,0.279231,0.292739,0.296187,58.7
shot_5i_13,shot_5i_13.json,75.04,8.01,2.53,3921.4,3.42,3914.4,234.0,55.1,87.6,32.5,7.2,1.78,24.70,11.93,91830.0,0.261184,0.275684,0.294718,0.296527,55.1
shot_5i_14,shot_5i_14.json,87.69,4.53,-7.68,3390.3,1.80,3388.6,106.5,53.8,97.4,43.6,3.9,1.42,31.19,6.61,107310.8,0.193234,0.228763,0.240414,0.240414,53.8
shot_5i_15,shot_5i_15.json,86.90,9.35,-4.02,2508.9,-4.94,2499.6,-216.2,74.0,121.1,47.1,11.0,2.08,28.46,13.15,106345.9,0.144296,0.216973,0.187102,0.187102,74.0
shot_5i_16,shot_5i_16.json,97.99,9.13,-2.08,3775.9,1.68,3774.3,110.7,109.1,108.0,-1.1,19.2,2.98,27.60,17.38,119926.2,0.192576,0.217163,0.226500,0.227520,109.1
shot_5i_17,shot_5i_17.json,56.46,9.97,24.15,5178.3,29.12,4523.9,2519.7,32.2,51.2,19.0,4.7,1.30,21.32,11.92,69096.2,0.458380,0.284917,0.371513,0.371514,32.2
shot_6i_35,shot_6i_35.json,80.55,15.35,-1.30,4667.1,-0.03,4667.1,-2.8,85.2,85.3,0.0,23.2,2.93,22.80,25.47,98572.3,0.289590,0.251025,0.244371,0.270601,85.2
shot_6i_36,shot_6i_36.json,78.86,10.40,16.08,4166.0,25.12,3771.9,1768.7,69.6,101.8,32.2,12.3,2.25,24.37,16.48,96505.8,0.264030,0.256293,0.293257,0.294638,69.6
shot_6i_37,shot_6i_37.json,82.57,10.16,11.01,3041.1,25.35,2748.4,1301.8,67.6,108.9,41.3,10.9,2.02,26.89,14.26,101052.9,0.184068,0.236918,0.209958,0.210331,67.6
shot_6i_38,shot_6i_38.json,79.12,13.35,3.04,3186.9,11.59,3121.9,640.2,75.3,75.5,0.2,17.9,2.51,23.82,23.27,96827.7,0.201308,0.252420,0.245502,0.253506,75.3
shot_6i_39,shot_6i_39.json,60.98,6.14,10.35,3284.8,22.03,3044.9,1232.2,23.8,54.4,30.6,2.1,0.87,23.54,7.59,74625.7,0.269219,0.333765,0.292838,0.296020,23.8
shot_6i_40,shot_6i_40.json,62.11,6.80,27.01,2768.0,30.00,2397.2,1384.0,25.3,59.6,34.3,2.6,0.91,23.83,8.78,76009.9,0.222738,0.325687,0.302726,0.302893,25.3
shot_6i_41,shot_6i_41.json,82.53,9.88,-2.28,2620.2,13.56,2547.1,614.5,66.6,110.8,44.2,10.3,1.97,27.33,13.45,100996.8,0.158675,0.229767,0.192268,0.192274,66.6
shot_6i_42,shot_6i_42.json,77.19,13.14,-3.42,4057.2,4.14,4046.6,293.2,75.6,75.5,-0.1,18.1,2.62,22.72,23.76,94471.3,0.262673,0.261989,0.295418,0.295418,75.6
shot_6i_43,shot_6i_43.json,94.06,13.88,-4.68,4616.2,1.70,4614.2,137.0,119.9,124.5,4.6,40.2,3.97,22.99,36.36,115112.4,0.245275,0.236787,0.305379,0.305379,119.9
shot_6i_44,shot_6i_44.json,114.96,9.46,-6.67,2314.5,15.10,2234.6,602.8,140.5,140.2,-0.3,25.2,3.33,31.66,17.41,140686.5,0.100621,0.199291,0.165322,0.165596,140.5
shot_6i_45,shot_6i_45.json,109.32,6.42,-9.00,2509.9,-10.87,2464.9,-473.5,112.6,165.8,53.2,13.4,2.63,32.94,11.72,133784.2,0.114749,0.198894,0.187380,0.187385,112.6
shot_6i_46,shot_6i_46.json,116.33,13.65,0.34,3007.9,10.67,2955.8,557.1,166.3,170.8,4.5,48.6,4.43,27.68,28.77,142368.0,0.129223,0.213385,0.178828,0.180417,166.3
shot_6i_47,shot_6i_47.json,99.48,14.78,-2.86,4810.7,4.69,4794.6,393.7,134.2,141.8,7.5,52.9,4.48,23.26,42.06,121740.5,0.241695,0.233046,0.305545,0.305616,134.2
