shot_name,filename,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,carry_yd,total_yd,rollout_yd,apex_ft,hang_time_s,landing_speed_mps,landing_angle_deg,initial_re,initial_spin_ratio,initial_cd,initial_cl,peak_cl,carry_only_yd
shot_1,shot_1.json,18.82,35.31,-3.37,3729.2,-0.00,3729.2,-0.0,7.2,11.4,4.2,3.9,0.98,8.08,36.34,23028.8,0.990462,0.403097,0.000000,0.000000,7.2
shot_10,shot_10.json,89.70,25.51,-3.13,6446.1,6.16,6408.9,691.6,118.5,126.6,8.0,66.0,4.74,22.09,47.73,109779.2,0.359143,0.239233,0.228748,0.289487,118.5
shot_11,shot_11.json,78.51,29.59,4.31,7349.8,10.69,7222.3,1363.2,91.9,96.4,4.5,60.4,4.35,20.50,48.85,96081.2,0.467873,0.280118,0.280271,0.312453,91.9
shot_12,shot_12.json,90.80,24.49,-3.88,7260.6,4.91,7233.9,621.5,116.6,122.4,5.7,65.1,4.76,21.29,47.58,111117.8,0.399648,0.264187,0.243274,0.311339,116.6
shot_13,shot_13.json,95.22,19.62,-1.09,5609.6,12.20,5482.8,1185.8,123.5,128.0,4.5,51.3,4.28,22.65,40.10,116536.1,0.294416,0.240270,0.234293,0.268000,123.5
shot_14,shot_14.json,87.13,22.37,-2.00,5660.3,11.37,5549.3,1115.6,108.1,112.2,4.1,49.1,4.10,21.61,41.21,106633.6,0.324668,0.251885,0.224737,0.268979,108.1
shot_15,shot_15.json,88.14,14.21,-0.32,4985.2,19.37,4703.0,1653.5,98.0,98.0,0.0,26.1,3.16,23.58,25.36,107862.6,0.282684,0.245162,0.252277,0.270478,98.0
shot_16,shot_16.json,94.07,19.14,-5.93,5291.1,4.96,5271.3,457.7,123.8,129.9,6.1,51.5,4.28,23.03,40.37,115119.9,0.281118,0.229885,0.257927,0.273704,123.8
shot_17,shot_17.json,122.92,14.40,-1.33,4119.1,6.69,4091.0,480.2,185.0,195.0,10.1,66.6,5.17,26.49,37.47,150434.8,0.167473,0.227461,0.195165,0.202274,185.0
shot_18,shot_18.json,105.67,20.50,-1.72,5666.8,8.18,5609.2,806.3,144.6,154.6,10.0,76.1,5.11,23.31,50.30,129323.3,0.268011,0.243729,0.272200,0.272200,144.6
shot_19,shot_19.json,128.59,12.54,-8.40,2513.7,5.13,2503.6,224.6,192.4,198.2,5.8,55.1,4.79,29.05,29.04,157373.2,0.097695,0.216443,0.163440,0.165833,192.4
shot_2,shot_2.json,18.59,33.32,-2.15,3688.3,-0.00,3688.3,-0.0,6.9,11.3,4.4,3.4,0.93,8.00,34.33,22755.1,0.991373,0.403097,0.000000,0.000000,6.9
shot_20,shot_20.json,120.88,15.02,-2.96,4245.1,9.62,4185.4,709.5,180.8,191.2,10.4,69.0,5.21,26.10,40.03,147934.6,0.175515,0.228090,0.199231,0.217566,180.8
shot_21,shot_21.json,127.35,7.24,-11.46,2320.9,-19.47,2188.2,-773.4,159.8,214.2,54.4,24.8,3.52,33.30,16.10,155855.5,0.091079,0.206284,0.169690,0.170540,159.8
shot_22,shot_22.json,123.29,14.01,-6.11,3104.1,9.97,3057.3,537.3,186.0,193.1,7.1,60.3,4.95,27.66,32.33,150883.1,0.125832,0.217748,0.179061,0.181530,186.0
shot_23,shot_23.json,125.52,8.64,-14.33,3062.5,-23.87,2800.5,-1239.4,161.1,161.1,-0.0,29.8,3.73,31.42,19.03,153607.5,0.121944,0.216536,0.176424,0.177656,161.1
shot_24,shot_24.json,121.48,14.53,-11.23,3172.9,-6.80,3150.6,-375.5,183.5,191.3,7.8,61.6,4.98,27.32,33.50,148670.3,0.130533,0.217361,0.181227,0.183728,183.5
shot_25,shot_25.json,127.22,4.99,-12.57,2671.0,-16.25,2564.3,-747.4,143.4,198.0,54.6,16.0,3.06,34.43,11.95,155698.6,0.104925,0.214613,0.177764,0.178624,143.4
shot_26,shot_26.json,116.97,18.42,-2.02,5035.4,9.70,4963.4,848.2,172.6,195.8,23.2,108.5,6.07,25.74,57.17,143143.6,0.215155,0.228401,0.276816,0.308703,172.6
shot_27,shot_27.json,112.96,17.59,-2.26,4291.5,12.21,4194.4,907.8,162.8,177.9,15.2,75.7,5.18,25.21,46.95,138244.2,0.189868,0.226662,0.218192,0.262486,162.8
shot_3,shot_3.json,30.72,32.94,-2.80,4070.1,-0.00,4070.1,-0.0,17.5,26.8,9.2,8.9,1.49,12.38,35.28,37591.2,0.662227,0.437461,0.110088,0.110088,17.5
shot_4,shot_4.json,41.63,35.25,-0.96,5228.9,5.22,5207.3,475.4,31.5,41.4,9.9,19.2,2.23,15.39,41.03,50942.2,0.627805,0.475825,0.343880,0.343880,31.5
