shot_name,filename,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,carry_yd,total_yd,rollout_yd,apex_ft
shot_1,shot_1.json,18.82,35.31,-3.37,3729.2,0.00,3729.2,0.0,0.0,0.0,0.0,0.0
shot_10,shot_10.json,89.70,25.51,-3.13,6446.1,6.16,6408.9,691.6,115.1,116.4,1.3,72.0
shot_11,shot_11.json,78.51,29.59,4.31,7349.8,10.69,7222.3,1363.2,93.0,93.6,0.6,64.0
shot_12,shot_12.json,90.80,24.49,-3.88,7260.6,4.91,7233.9,621.5,115.4,116.4,1.0,71.5
shot_13,shot_13.json,95.22,19.62,-1.09,5609.6,12.20,5482.8,1185.8,125.3,128.7,3.4,58.4
shot_14,shot_14.json,87.13,22.37,-2.00,5660.3,11.37,5549.3,1115.6,110.9,113.7,2.8,55.9
shot_15,shot_15.json,88.14,14.21,-0.32,4985.2,19.37,4703.0,1653.5,101.3,113.1,11.8,28.9
shot_16,shot_16.json,94.07,19.14,-5.93,5291.1,4.96,5271.3,457.7,124.3,128.1,3.8,55.3
shot_17,shot_17.json,122.92,14.40,-1.33,4119.1,6.69,4091.0,480.2,184.0,190.3,6.3,71.8
shot_18,shot_18.json,105.67,20.50,-1.72,5666.8,8.18,5609.2,806.3,146.8,149.4,2.6,80.4
shot_19,shot_19.json,128.59,12.54,-8.40,2513.7,5.13,2503.6,224.6,194.5,208.7,14.2,57.3
shot_2,shot_2.json,18.59,33.32,-2.15,3688.3,0.00,3688.3,0.0,0.0,0.0,0.0,0.0
shot_20,shot_20.json,120.88,15.02,-2.96,4245.1,9.62,4185.4,709.5,179.4,185.3,5.9,72.3
shot_21,shot_21.json,127.35,7.24,-11.46,2320.9,-19.47,2188.2,-773.4,154.9,186.5,31.6,23.1
shot_22,shot_22.json,123.29,14.01,-6.11,3104.1,9.97,3057.3,537.3,185.4,195.5,10.1,63.0
shot_23,shot_23.json,125.52,8.64,-14.33,3062.5,-23.87,2800.5,-1239.4,161.9,185.0,23.1,31.0
shot_24,shot_24.json,121.48,14.53,-11.23,3172.9,-6.80,3150.6,-375.5,183.0,192.8,9.8,64.6
shot_25,shot_25.json,127.22,4.99,-12.57,2671.0,-16.25,2564.3,-747.4,0.0,0.0,0.0,0.0
shot_26,shot_26.json,116.97,18.42,-2.02,5035.4,9.70,4963.4,848.2,170.7,174.2,3.5,88.1
shot_27,shot_27.json,112.96,17.59,-2.26,4291.5,12.21,4194.4,907.8,164.5,169.6,5.1,73.6
shot_3,shot_3.json,30.72,32.94,-2.80,4070.1,0.00,4070.1,0.0,0.0,0.0,0.0,0.0
shot_4,shot_4.json,41.63,35.25,-0.96,5228.9,5.22,5207.3,475.4,0.0,0.0,0.0,0.0
shot_5,shot_5.json,34.04,35.10,-1.20,4487.3,0.00,4487.3,0.0,0.0,0.0,0.0,0.0
shot_6,shot_6.json,34.78,36.39,-0.62,4515.3,0.93,4514.7,73.1,0.0,0.0,0.0,0.0
shot_7,shot_7.json,41.38,18.02,-7.65,3110.5,0.00,3110.5,0.0,0.0,0.0,0.0,0.0
shot_8,shot_8.json,43.09,12.55,7.93,2821.4,18.87,2669.8,912.3,0.0,0.0,0.0,0.0
shot_9,shot_9.json,94.41,20.07,2.40,4020.4,16.33,3858.1,1130.8,126.5,132.5,6.0,54.8
