shot_name,filename,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,carry_yd,total_yd,rollout_yd,apex_ft
shot_3w_31,shot_3w_31.json,106.87,15.70,-2.35,3662.0,8.88,3618.1,565.0,150.3,158.8,8.5,53.7
shot_3w_32,shot_3w_32.json,105.45,18.52,-1.38,5714.3,2.28,5709.8,227.6,146.0,148.8,2.8,71.9
shot_3w_33,shot_3w_33.json,99.72,20.51,0.54,6997.1,1.55,6994.5,189.5,132.0,133.4,1.4,72.8
shot_3w_34,shot_3w_34.json,114.64,15.34,2.39,3501.5,12.77,3414.9,773.8,166.6,175.4,8.8,60.3
shot_3w_35,shot_3w_35.json,117.92,14.40,3.60,3735.1,13.26,3635.5,856.4,171.9,180.2,8.3,61.1
shot_5i_25,shot_5i_25.json,89.08,16.71,1.13,5261.8,6.18,5231.2,566.6,110.8,116.1,5.3,40.1
shot_5i_26,shot_5i_26.json,106.31,15.46,-3.63,4114.0,3.40,4106.7,244.1,148.7,155.9,7.2,54.5
shot_5i_27,shot_5i_27.json,84.90,6.99,5.73,2262.9,30.00,1959.8,1131.5,55.3,92.1,36.8,5.8
shot_5i_28,shot_5i_28.json,86.01,15.91,-1.64,4178.9,1.01,4178.3,73.4,103.1,114.6,11.5,32.2
shot_5i_29,shot_5i_29.json,76.23,6.14,0.67,3695.3,0.00,3695.3,0.0,46.2,73.3,27.1,4.3
shot_5i_30,shot_5i_30.json,96.81,18.19,0.71,6358.2,17.49,6064.2,1911.0,124.7,127.7,3.0,55.5
shot_6i_19,shot_6i_19.json,85.61,14.70,2.87,4622.8,10.94,4538.9,877.1,98.9,110.8,11.9,28.6
shot_6i_20,shot_6i_20.json,78.84,9.70,-0.74,4288.8,0.00,4288.8,0.0,69.4,89.6,20.2,11.5
shot_6i_21,shot_6i_21.json,91.87,17.75,0.67,5966.8,11.46,5847.9,1185.3,116.4,120.1,3.7,47.6
shot_6i_22,shot_6i_22.json,76.88,7.65,14.36,3780.1,30.00,3273.7,1890.1,50.8,78.8,28.0,6.0
shot_6i_23,shot_6i_23.json,86.70,15.37,2.75,4195.9,11.91,4105.6,865.6,0.0,0.0,0.0,0.0
shot_6i_24,shot_6i_24.json,90.75,14.84,2.98,5270.3,14.94,5092.1,1358.6,0.0,0.0,0.0,0.0
shot_9i_12,shot_9i_12.json,66.18,1.43,13.95,3095.8,30.00,2681.0,1547.9,0.0,0.0,0.0,0.0
shot_9i_13,shot_9i_13.json,73.08,12.51,11.29,4978.8,21.31,4638.4,1809.5,0.0,0.0,0.0,0.0
shot_9i_14,shot_9i_14.json,87.13,22.10,0.34,5730.4,4.69,5711.2,468.2,111.2,113.9,2.7,55.8
shot_9i_15,shot_9i_15.json,75.35,23.70,-1.27,6790.0,2.92,6781.2,346.1,87.7,89.3,1.6,43.9
shot_9i_16,shot_9i_16.json,65.73,0.00,6.99,1782.9,30.00,1544.0,891.5,0.0,0.0,0.0,0.0
shot_9i_17,shot_9i_17.json,79.41,14.92,16.37,4369.2,30.00,3783.8,2184.6,80.9,95.6,14.7,21.4
shot_9i_18,shot_9i_18.json,74.62,23.60,2.52,6418.0,6.12,6381.4,684.4,86.6,88.8,2.2,42.3
shot_lw_36,shot_lw_36.json,29.15,41.69,3.71,4205.1,0.00,4205.1,0.0,0.0,0.0,0.0,0.0
shot_lw_37,shot_lw_37.json,42.76,36.37,5.46,5160.3,8.24,5107.0,739.5,0.0,0.0,0.0,0.0
shot_lw_38,shot_lw_38.json,47.61,37.82,6.06,5608.6,5.60,5581.8,546.9,42.4,43.4,1.0,30.5
shot_lw_39,shot_lw_39.json,15.19,29.00,1.86,3481.1,0.00,3481.1,0.0,0.0,0.0,0.0,0.0
shot_lw_40,shot_lw_40.json,17.80,31.33,2.56,3617.2,0.00,3617.2,0.0,0.0,0.0,0.0,0.0
shot_lw_41,shot_lw_41.json,23.82,25.81,0.34,3616.9,0.00,3616.9,0.0,0.0,0.0,0.0,0.0
shot_lw_42,shot_lw_42.json,40.42,40.34,6.79,4336.8,12.64,4231.7,949.1,0.0,0.0,0.0,0.0
shot_lw_43,shot_lw_43.json,37.53,21.80,7.56,3734.1,0.00,3734.1,0.0,0.0,0.0,0.0,0.0
shot_lw_44,shot_lw_44.json,39.70,30.64,2.55,5258.6,0.00,5258.6,0.0,0.0,0.0,0.0,0.0
shot_lw_45,shot_lw_45.json,31.72,32.10,1.83,4379.3,-2.83,4374.0,-216.6,0.0,0.0,0.0,0.0
shot_lw_46,shot_lw_46.json,20.85,19.71,0.85,2793.0,0.00,2793.0,0.0,0.0,0.0,0.0,0.0
shot_lw_50,shot_lw_50.json,18.51,47.07,6.77,4534.6,18.14,4309.3,1411.6,0.0,0.0,0.0,0.0
shot_lw_51,shot_lw_51.json,32.18,29.45,9.63,5076.9,14.13,4923.3,1239.2,0.0,0.0,0.0,0.0
shot_lw_52,shot_lw_52.json,31.04,52.00,-0.06,3964.7,15.12,3827.5,1033.9,0.0,0.0,0.0,0.0
shot_pw_1,shot_pw_1.json,69.84,20.07,-0.58,3577.0,7.98,3542.3,496.5,74.8,83.7,8.9,26.2
shot_pw_10,shot_pw_10.json,76.33,26.80,0.65,5988.6,4.90,5966.7,511.9,91.5,93.2,1.7,52.8
shot_pw_11,shot_pw_11.json,76.26,27.35,-0.63,6296.3,5.22,6270.2,573.0,91.1,92.5,1.4,54.2
shot_pw_2,shot_pw_2.json,53.25,24.98,0.23,4085.0,3.00,4079.4,213.9,48.5,56.0,7.5,20.2
shot_pw_3,shot_pw_3.json,62.81,31.15,6.57,6128.8,6.31,6091.7,673.2,67.3,68.6,1.3,41.8
shot_pw_4,shot_pw_4.json,40.09,4.84,16.41,2730.5,20.39,2559.4,951.4,0.0,0.0,0.0,0.0
shot_pw_47,shot_pw_47.json,46.66,24.60,2.26,3699.1,0.00,3699.1,0.0,37.4,45.2,7.8,14.6
shot_pw_48,shot_pw_48.json,46.55,25.52,3.83,4318.4,0.58,4318.2,43.5,37.9,44.5,6.6,15.6
